               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.026434,            0.098439,            0.017307,             0.91591,                0.92,             0.95128,             0.73671,            0.022687,            0.057214,            0.013816,           0.0033053,           0.0033053,            0.070252
                   1,            0.025463,            0.087922,            0.015866,             0.93427,              0.9171,             0.95617,             0.68289,            0.028293,            0.056961,            0.013041,           0.0065729,           0.0065729,            0.040186
                   2,            0.031566,            0.087039,            0.016012,             0.90857,             0.92302,             0.95412,             0.63945,            0.033662,            0.058815,            0.014029,           0.0097745,           0.0097745,            0.010055
                   3,            0.033308,            0.088014,            0.016396,             0.93282,             0.91846,             0.95518,             0.64226,            0.033705,            0.058021,             0.01399,            0.009703,            0.009703,            0.009703
                   4,            0.033697,             0.08731,            0.016041,              0.9383,              0.9257,             0.96097,             0.66516,            0.031324,            0.056065,            0.013496,            0.009703,            0.009703,            0.009703
                   5,            0.032039,            0.085077,            0.015854,             0.94886,             0.93181,             0.96675,             0.67028,            0.030943,            0.055563,            0.013142,            0.009604,            0.009604,            0.009604
                   6,            0.030994,            0.086733,            0.015229,             0.95205,             0.93962,             0.97111,              0.7084,            0.028734,            0.054878,            0.012717,            0.009505,            0.009505,            0.009505
                   7,            0.029104,            0.082139,            0.014766,             0.94731,             0.93005,             0.96532,             0.73319,            0.026688,            0.054521,            0.012988,            0.009406,            0.009406,            0.009406
                   8,             0.02993,            0.080892,            0.014536,             0.95399,              0.9347,             0.96425,             0.67628,            0.029846,            0.055938,            0.012993,            0.009307,            0.009307,            0.009307
                   9,            0.029895,            0.083362,            0.014123,             0.95621,             0.94021,             0.96951,             0.71136,            0.026998,            0.054689,            0.012066,            0.009208,            0.009208,            0.009208
                  10,            0.029828,            0.080094,            0.013651,             0.95392,             0.94155,             0.96779,             0.71023,            0.026854,            0.053633,            0.011962,            0.009109,            0.009109,            0.009109
                  11,            0.029196,            0.080411,            0.013904,             0.95949,             0.94356,             0.97134,             0.72848,            0.026727,            0.053102,            0.011597,             0.00901,             0.00901,             0.00901
                  12,            0.028343,            0.079351,            0.013501,             0.95595,             0.94592,             0.96945,             0.74134,            0.025449,            0.053456,             0.01155,            0.008911,            0.008911,            0.008911
                  13,            0.027783,            0.077251,             0.01318,              0.9586,              0.9483,             0.97106,             0.75766,             0.02459,            0.052402,            0.011288,            0.008812,            0.008812,            0.008812
                  14,            0.026695,            0.079004,            0.013024,             0.96005,             0.95137,             0.97275,             0.75804,            0.024799,            0.052262,            0.010987,            0.008713,            0.008713,            0.008713
                  15,            0.027112,            0.076221,            0.012874,              0.9665,             0.94772,             0.97212,             0.72784,            0.025664,            0.053311,            0.010958,            0.008614,            0.008614,            0.008614
                  16,            0.025958,            0.074722,            0.012597,             0.96741,             0.94977,             0.97539,             0.75893,            0.024057,            0.051775,            0.010904,            0.008515,            0.008515,            0.008515
                  17,            0.027057,            0.080357,            0.012422,             0.96327,             0.95344,              0.9756,             0.74772,            0.025045,            0.052119,            0.010681,            0.008416,            0.008416,            0.008416
                  18,            0.026931,            0.074907,            0.012319,             0.96523,             0.95365,             0.97546,             0.74298,            0.026067,            0.053183,            0.010718,            0.008317,            0.008317,            0.008317
                  19,            0.026774,            0.074908,             0.01221,             0.96643,             0.94774,             0.97282,             0.74993,            0.023908,            0.051744,            0.010701,            0.008218,            0.008218,            0.008218
                  20,            0.026209,            0.074112,            0.012005,              0.9655,              0.9501,             0.97502,             0.75969,            0.024225,            0.052758,            0.010555,            0.008119,            0.008119,            0.008119
