               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025441,             0.09961,            0.018089,              0.8717,             0.93037,              0.9097,             0.70686,            0.020912,            0.055706,            0.015145,           0.0033067,           0.0033067,             0.07024
                   1,            0.024695,            0.083861,            0.017188,             0.88393,             0.94143,             0.91675,             0.63997,            0.029673,            0.057201,             0.01458,           0.0066181,           0.0066181,            0.040218
                   2,            0.032387,            0.085068,            0.017102,             0.85108,              0.9393,             0.91359,             0.59226,            0.031368,            0.056537,            0.015267,           0.0099075,           0.0099075,            0.010174
                   3,            0.032515,            0.085433,            0.017573,             0.87283,             0.93683,             0.92516,             0.62154,            0.029738,             0.05635,            0.015074,            0.009901,            0.009901,            0.009901
                   4,            0.033249,            0.084643,            0.016965,             0.89254,             0.94473,             0.93192,             0.66637,            0.027637,            0.054977,            0.014864,            0.009901,            0.009901,            0.009901
                   5,            0.031521,            0.084172,            0.016379,             0.89986,             0.93709,             0.93975,             0.68157,             0.02827,             0.05518,            0.014381,            0.009868,            0.009868,            0.009868
                   6,            0.030698,            0.082735,            0.016172,             0.88466,             0.94496,             0.93804,             0.69137,            0.029556,             0.05513,            0.013805,            0.009835,            0.009835,            0.009835
                   7,            0.030411,            0.079724,            0.015878,             0.93101,             0.93501,              0.9542,             0.67797,            0.026783,            0.054497,            0.013607,            0.009802,            0.009802,            0.009802
                   8,            0.030234,            0.079868,             0.01533,             0.93901,             0.94179,             0.96041,             0.72469,            0.026208,            0.054913,            0.013212,            0.009769,            0.009769,            0.009769
                   9,             0.03026,            0.078989,            0.014926,              0.9442,             0.93928,             0.96411,              0.6982,            0.027266,            0.053998,            0.012809,            0.009736,            0.009736,            0.009736
                  10,            0.029629,            0.078981,            0.014278,             0.95639,             0.94279,             0.96996,             0.73946,            0.025923,             0.05352,            0.012268,            0.009703,            0.009703,            0.009703
                  11,            0.028586,             0.07912,            0.013813,             0.96168,             0.94637,             0.97224,             0.73056,            0.025804,            0.053446,            0.011626,             0.00967,             0.00967,             0.00967
                  12,            0.029708,            0.079777,            0.013314,             0.96118,             0.94515,             0.96973,             0.71077,            0.027005,            0.054143,            0.011547,            0.009637,            0.009637,            0.009637
                  13,            0.028624,            0.079537,            0.012984,             0.96179,             0.95246,             0.97365,             0.74347,            0.024521,            0.053117,            0.011229,            0.009604,            0.009604,            0.009604
                  14,            0.027729,            0.074358,            0.012861,             0.96147,             0.95164,             0.97163,             0.73566,            0.025424,            0.053605,             0.01101,            0.009571,            0.009571,            0.009571
                  15,            0.027377,            0.075155,            0.012721,             0.96061,             0.95042,             0.97366,             0.74718,            0.024834,             0.05261,            0.010911,            0.009538,            0.009538,            0.009538
                  16,            0.027098,            0.076752,            0.012356,             0.96147,             0.94245,             0.96987,             0.73543,            0.024459,            0.053508,            0.010939,            0.009505,            0.009505,            0.009505
                  17,            0.027077,            0.075928,            0.012106,             0.96584,             0.95452,             0.97755,             0.76735,            0.022909,            0.052003,            0.010471,            0.009472,            0.009472,            0.009472
                  18,             0.02694,            0.074038,            0.011877,             0.96414,             0.95037,             0.97397,             0.76028,            0.023884,            0.052134,            0.010207,            0.009439,            0.009439,            0.009439
                  19,            0.025526,            0.073908,            0.011551,             0.96669,             0.95362,             0.97609,             0.76846,            0.022411,            0.051577,            0.010248,            0.009406,            0.009406,            0.009406
                  20,            0.025688,            0.073567,            0.011278,             0.96605,             0.95734,             0.97827,             0.77528,            0.022169,            0.051181,            0.009844,            0.009373,            0.009373,            0.009373
                  21,            0.026121,            0.073714,            0.011136,             0.96889,             0.96032,             0.97838,             0.77859,            0.021909,            0.051597,           0.0096987,             0.00934,             0.00934,             0.00934
                  22,            0.026134,            0.074828,            0.010865,             0.96337,             0.95856,              0.9752,             0.74423,             0.02486,            0.053292,           0.0095737,            0.009307,            0.009307,            0.009307
                  23,            0.026634,            0.074118,            0.010795,             0.96825,             0.96144,             0.98049,             0.78537,            0.021677,            0.051019,              0.0093,            0.009274,            0.009274,            0.009274
