               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022693,             0.11441,            0.018295,             0.84309,             0.87545,             0.88672,             0.71152,            0.019697,            0.062324,            0.014334,           0.0033122,           0.0033122,             0.07019
                   1,            0.022963,             0.10468,            0.017029,              0.8448,             0.89026,             0.90107,             0.68139,            0.025096,            0.063971,            0.013591,           0.0065798,           0.0065798,            0.040124
                   2,            0.028554,             0.10811,            0.016219,             0.84549,              0.8754,             0.89097,             0.63959,            0.028495,            0.065076,             0.01453,           0.0097813,           0.0097813,           0.0099923
                   3,            0.030572,              0.1036,            0.016243,             0.87566,             0.85747,             0.91524,             0.64676,            0.028359,            0.064537,            0.014403,            0.009703,            0.009703,            0.009703
                   4,            0.028914,             0.10287,            0.015465,             0.89809,             0.86836,             0.92493,             0.65639,            0.026768,             0.06312,            0.013183,            0.009703,            0.009703,            0.009703
                   5,            0.027701,             0.09992,            0.014516,             0.91754,             0.88245,             0.93933,             0.72714,            0.023695,            0.061706,            0.012459,            0.009604,            0.009604,            0.009604
                   6,             0.02769,            0.099696,            0.013823,             0.91064,             0.87581,              0.9303,             0.68658,            0.025848,            0.064827,            0.012172,            0.009505,            0.009505,            0.009505
                   7,            0.026973,            0.096585,            0.013143,             0.93589,             0.90671,             0.94965,             0.72194,            0.023943,            0.060539,            0.010724,            0.009406,            0.009406,            0.009406
                   8,            0.026717,            0.097765,            0.012776,             0.93072,             0.91659,             0.95535,             0.72212,            0.024551,            0.060129,            0.010403,            0.009307,            0.009307,            0.009307
                   9,            0.025578,            0.094251,            0.012051,             0.92857,             0.91984,              0.9556,             0.74137,            0.021473,             0.05981,           0.0098112,            0.009208,            0.009208,            0.009208
                  10,            0.026354,            0.095239,            0.011729,             0.93352,             0.92661,             0.95958,             0.74537,            0.024056,             0.06089,           0.0092972,            0.009109,            0.009109,            0.009109
                  11,            0.025501,            0.095371,            0.011218,             0.93403,             0.91361,             0.95485,             0.73803,            0.021958,            0.059969,           0.0097209,             0.00901,             0.00901,             0.00901
                  12,            0.024164,            0.091311,            0.010972,             0.93545,             0.92363,             0.95759,             0.75112,            0.022464,              0.0598,           0.0094065,            0.008911,            0.008911,            0.008911
                  13,            0.024441,            0.093022,            0.010785,             0.93294,             0.91957,             0.95216,             0.76571,            0.020702,            0.059035,           0.0094138,            0.008812,            0.008812,            0.008812
                  14,            0.024026,            0.089958,            0.010392,             0.93641,             0.91768,               0.953,             0.76054,            0.022004,            0.059455,           0.0091638,            0.008713,            0.008713,            0.008713
                  15,            0.023892,            0.091219,            0.010213,             0.93796,             0.91972,             0.95559,             0.74922,            0.022006,            0.060256,           0.0089144,            0.008614,            0.008614,            0.008614
                  16,             0.02291,             0.08926,            0.010004,             0.93118,             0.91776,             0.95292,             0.76238,            0.021527,             0.06061,           0.0088662,            0.008515,            0.008515,            0.008515
                  17,            0.023024,            0.088679,           0.0096904,             0.93917,             0.92648,             0.95699,             0.77468,            0.019736,            0.058666,           0.0085127,            0.008416,            0.008416,            0.008416
                  18,            0.022861,            0.090041,           0.0097927,             0.94381,             0.92935,             0.96156,             0.77561,            0.021373,            0.058858,           0.0083412,            0.008317,            0.008317,            0.008317
                  19,            0.023048,            0.088313,           0.0095256,             0.94555,             0.92396,             0.95775,             0.76201,            0.021275,            0.059749,           0.0083817,            0.008218,            0.008218,            0.008218
                  20,            0.022282,            0.088487,           0.0091557,             0.93495,             0.92926,             0.96018,             0.77802,             0.02024,            0.059231,           0.0084653,            0.008119,            0.008119,            0.008119
                  21,            0.021448,            0.085896,           0.0090446,             0.94046,             0.93647,             0.96119,             0.78112,            0.019549,            0.058922,           0.0081054,             0.00802,             0.00802,             0.00802
                  22,            0.021933,            0.085348,           0.0087525,             0.94172,             0.92805,             0.95746,             0.77082,            0.020736,            0.058902,           0.0084193,            0.007921,            0.007921,            0.007921
                  23,            0.021602,            0.085502,           0.0088903,             0.94457,             0.93017,             0.95977,             0.78127,            0.019814,            0.057874,           0.0079909,            0.007822,            0.007822,            0.007822
